"","subj","congruent","incongruent"
"1",1,12,20
"2",2,18,14
"3",3,11,20
"4",4,14,9
"5",5,11,20
"6",6,12,9
"7",7,19,13
"8",9,21,11
"9",10,13,10
"10",11,14,13
"11",12,16,16
"12",13,15,16
"13",14,14,16
"14",15,14,13
"15",16,16,14
"16",17,15,12
"17",18,5,8
"18",19,11,5
"19",20,12,19
"20",21,15,16
"21",22,10,12
"22",23,8,7
"23",24,13,18
"24",25,10,20
"25",26,4,8
"26",27,10,13
"27",28,5,8
"28",29,13,19
"29",30,14,14
"30",31,8,8
"31",32,13,19
"32",33,11,20
"33",34,14,13
"34",35,16,16
"35",36,15,12
"36",37,16,14
"37",38,18,14
"38",39,17,15
"39",40,14,12
"40",41,6,6
"41",42,11,20
"42",43,17,15
"43",45,15,10
"44",46,14,18
"45",47,20,12
"46",48,16,15
"47",49,12,10
"48",50,13,11
"49",51,8,19
"50",52,16,14
"51",53,14,13
"52",54,11,20
"53",55,9,13
"54",56,2,4
"55",57,11,11
"56",58,14,18
"57",59,14,17
"58",60,9,18
"59",61,12,7
"60",62,9,10
"61",63,13,18
"62",64,8,7
"63",65,11,20
"64",66,6,6
"65",67,14,12
"66",68,17,15
"67",69,18,14
"68",70,16,14
"69",71,15,12
"70",72,16,16
"71",73,14,16
"72",74,15,16
"73",75,13,19
"74",76,8,8
"75",77,14,14
"76",78,13,19
"77",79,5,8
"78",80,10,13
"79",81,4,8
"80",82,10,20
"81",83,14,9
"82",84,11,20
"83",85,10,12
"84",86,15,16
"85",87,12,19
"86",88,11,5
"87",89,5,8
"88",90,15,12
"89",91,15,12
"90",92,14,13
"91",93,18,14
"92",94,12,20
"93",95,16,16
"94",96,14,13
"95",97,13,10
"96",98,21,11
"97",100,19,13
"98",101,12,9
"99",102,11,20
